year,country,min_temp,max_temp,min_prec,max_prec
2025,Nicaragua,19.1,34.05,1313.17,2079.08
2025,Niger,7.69,44.12,77.52,186.08
2025,Nigeria,16.14,40.13,1012.1,1356.03
2025,Niue (N.Z.),21.37,28.94,1300.01,2372.06
2025,Norfolk Island (Aus.),15.08,25.08,708.23,1233.88
2025,North Macedonia,-11.34,35.03,573.57,889.76
2025,Northern Mariana Islands (U.S.),24.38,29.65,1402.02,2170.27
2025,Norway,-20.07,24.11,1115.84,1519.4
2025,Oman,10.61,44.77,14.63,112.8
2025,Pakistan,-1.47,41.46,308.25,595.53
2025,Palau,25.18,29.52,2492.25,3367.33
2025,Panama,20.97,31.33,2737.75,3701.21
2025,Papua New Guinea,18.68,30.31,3227.38,4334.21
2025,Paraguay,4.45,40.65,1059.92,1613.41
2025,Peru,10.66,28.46,1856.21,2308.39
2025,Philippines,20.46,32.3,2061.47,2995.33
2025,Pitcairn Islands (U.K.),18.22,27.03,930.27,1556.4
2025,Poland,-13.75,32.62,624.51,915.17
2025,Portugal,0.56,35.22,551.27,1055.57
2025,Puerto Rico (U.S.),19.38,30.83,811.57,1343.96
2025,Qatar,9.93,44.34,22.82,125.78
2025,R. B. de Venezuela,19.78,34.85,1785.23,2493.85
2025,Republic of Korea,-11.27,32.69,1029.17,1568.03
2025,Republic of Yemen,9.07,39.78,110.06,266.6
2025,Romania,-13.59,34.02,666.53,1017.21
2025,Russian Federation,-38.35,29.65,517.66,730.25
2025,Rwanda,13.25,28.15,1518.07,1901.0
2025,"Saint Helena, Ascension and Tristan da Cunha (U.K.)",14.15,23.68,602.5,788.36
2025,Saint Kitts and Nevis,23.33,29.11,601.6,1089.54
2025,Saint Lucia,21.71,30.49,737.33,1109.09
2025,Saint Vincent and the Grenadines,24.19,29.16,880.65,1335.4
2025,Saint-Barthélemy (Fr.),23.24,29.17,599.1,1124.82
2025,Saint-Martin (Fr.),23.26,29.16,603.46,1125.32
2025,Saint-Pierre-et-Miquelon (Fr.),-9.27,20.33,1339.96,1713.87
2025,Samoa,22.63,28.67,2163.51,3014.26
2025,San Marino,-1.33,33.64,650.93,1039.65
2025,Saudi Arabia,4.14,45.26,29.53,130.86
2025,Senegal,15.64,43.41,427.83,739.79
2025,Serbia,-12.02,35.82,609.41,935.38
2025,Seychelles,24.0,29.53,1090.25,1616.34
2025,Sierra Leone,19.32,36.52,2321.63,2973.2
2025,Singapore,23.91,31.1,1817.18,2647.78
2025,Sint Maarten (Neth.),23.26,29.15,603.47,1124.88
2025,Slovak Republic,-13.88,32.81,674.43,1009.89
2025,Slovenia,-10.9,31.88,1037.36,1610.86
2025,Solomon Islands,23.35,29.75,3036.72,4146.14
2025,Somalia,18.45,36.94,220.5,471.75
2025,South Africa,-0.43,36.75,413.16,653.9
2025,South Sudan,18.63,40.88,1057.04,1416.27
2025,Spain,-2.95,35.26,504.55,848.78
2025,Sri Lanka,19.77,34.4,1396.65,2091.93
2025,Sudan,10.11,43.13,194.93,339.91
2025,Suriname,20.66,35.78,1197.26,1974.34
2025,Svalbard and Jan Mayen (Nor.),-30.36,6.18,471.21,711.4
2025,Sweden,-20.53,27.07,684.53,910.16
2025,Switzerland,-16.06,27.2,1412.09,1875.76
2025,Syrian Arab Republic,-1.93,42.54,155.82,307.77
